Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
SAMSUNG,4,64,512,6000,Exynos 850 Processor,12999
KARBONN,,0.032,16,1000,,849
MOTOROLA,6,128,,6000,Qualcomm Snapdragon 732G Processor,21999
REDMI,6,128,,6000,Qualcomm® Snapdragon™ 662 Processor,16999
Itel,,0.04,32,1000,SC6531E Processor,835
Snexian,,0.032,,800,,809
Itel,,0.04,32,1000,SC6531E Processor,14999
Itel,,0.04,32,1000,SC6531E Processor,5999
realme,4,128,256,5000,Qualcomm Snapdragon 662 Processor,19999
Itel,2,32,32,3020,Unisoc 9832E Quad Core Processor,1090
realme,6,128,256,4500,Qualcomm Snapdragon 720G Processor,10499
KARBONN,,0.032,,1750,,20490
SAMSUNG,3,32,1000,5000,Qualcomm Snapdragon 450 (SDM450-F01) Processor,20490
ViVO,6,128,1000,5000,Qualcomm Snapdragon 662 Processor,1599
ViVO,6,128,1000,5000,Qualcomm Snapdragon 662 Processor,17999
LAVA,,0.032,64,2575,,1849
realme,6,64,256,5000,MediaTek Helio G95 Processor,12999
GFive,,0.032,,1000,,2499
Kechaoda,,0.064,32,3600,,1450
Micromax,,0.032,,3000,,849
GREENBERRI,,0.064,32,1050,,869
BlackZone,,0.064,,1000,,829
LAVA,,0.03,32,620,,8199
OPPO,4,64,256,4230,,25990
OPPO,4,64,256,4230,,975
I,,0.064,,1500,,11450
Redmi,3,32,512,5000,MediaTek Helio G25 Processor,6099
KARBONN,,0.032,32,800,,1159
OPPO,8,128,256,4015,,14799
Itel,,0.04,32,1000,SC6531E Processor,5999
Itel,2,32,32,3020,Unisoc 9832E Quad Core Processor,5999
SAMSUNG,,,,,,1199
Kechaoda,,0.032,,850,,1199
Kechaoda,,0.032,,850,,15490
Nokia,,,32,1020,0 0 0 0 Processor Processor,14999
ViVO,3,64,256,5000,Qualcomm Snapdragon 439 Processor,16499
SAMSUNG,3,32,,5000,MediaTek MT6739 Processor,16499
Micromax,4,64,256,5000,MediaTek Helio G80 Processor,21999
Micromax,6,128,256,5000,MediaTek Helio G80 Processor,1849
Micromax,6,128,256,5000,MediaTek Helio G80 Processor,17499
realme,8,128,256,5000,MediaTek Dimensity 800U Processor,16499
Kechaoda,,0.032,,300,,17990
ViVO,3,32,256,5000,Snapdragon 439 Processor,15990
Kechaoda,,0.064,32,400,,15990
LAVA,,0.032,32,1700,,18999
SAMSUNG,6,128,512,6000,Samsung Exynos 9 Octa 9611 Processor,16999
REDMI,4,128,512,5020,MediaTek Helio G85 Processor,18999
OPPO,6,128,256,5000,,15999
REDMI,4,128,,6000,Qualcomm Snapdragon 662 Processor,15999
Redmi,4,64,512,5000,Qualcomm Snapdragon 439 Processor,10779
MOTOROLA,4,64,512,6000,Qualcomm Snapdragon 662 Processor,15999
LAVA,,0.032,,1750,,1899
Micromax,,0.032,,800,,940
KARBONN,,0.032,32,800,,10999
realme,4,64,256,4230,MediaTek Helio P60 Octa Core 2.0 GHz Processor,8999
realme,3,32,256,4230,MediaTek Helio P60 Octa Core 2.0 GHz Processor,15999
REDMI,4,128,,6000,Qualcomm Snapdragon 662 Processor,21495
SAMSUNG,8,128,512,6000,Samsung Exynos 9 Octa 9611 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,819
BlackZone,,0.064,,1000,,1949
Lava,,0.032,32,1750,,15000
Micromax,,0.024,,1750,,9990
LG,4,128,512,4000,MediaTek Helio G25 Processor,23999
ViVO,2,32,256,4030,MTK Helio P22 Processor,16489
Salora,,0.032,,1200,Spreadtrum Processor,14999
POCO,6,128,1000,5160,Qualcomm Snapdragon 860 Processor,12499
SAMSUNG,6,64,512,6000,Samsung Exynos 9 Octa 9611 Processor,16999
POCO,6,128,512,5000,MediaTek Helio G80 Processor,16999
Tecno,4,64,256,5000,Helio P22 MT6762 Processor,15990
ViVO,3,64,256,5000,Qualcomm Snapdragon 439 Processor,15490
Google,6,128,,3140,Qualcomm Snapdragon 730G Processor,31999
Apple,,,,,,52900
Kechaoda,,0.032,,850,,5999
Kechaoda,,0.032,,850,,1099
LAVA,2,16,256,3100,MediaTek Helio A20 Processor,1499
KXD,,0.032,32,1000,,1899
LAVA,,0.024,32,1000,,23999
LAVA,,0.032,,1750,,1849
LAVA,,0.024,32,800,,23999
SAMSUNG,6,128,512,5000,MediaTek (MT6768) Octa Core Processor,31999
LAVA,,0.032,32,1700,,849
DETEL,,0.032,,1000,,8499
SAMSUNG,6,128,512,5000,MediaTek (MT6768) Octa Core Processor,10999
Micromax,,0.032,,800,,10999
SAMSUNG,8,128,1000,7000,Exynos 9825 Processor,1890
Panasonic,3,32,512,4000,Meditek Processor,1099
Kechaoda,,0.032,16,800,,9990
Kechaoda,,0.032,,850,,14990
ViVO,2,32,256,4030,MTK Helio P22 Processor,14990
REDMI,4,128,512,5020,MediaTek Helio G80 Processor,5399
LAVA,,0.024,32,800,,14999
Salora,,0.032,,1200,Spreadtrum Processor,2499
Kechaoda,,0.032,,400,,44900
OPPO,4,64,256,5000,,10990
OPPO,4,64,256,5000,,1399
Itel,,,,1900,,10999
Salora,,0.032,,1800,Spreadtrum Processor,4233
GIONEE,2,32,256,3000,Unisoc SC9863 Processor,31999
Micromax,,0.032,,1750,,19999
Micromax,,0.032,,2200,,8454
Redmi,3,32,512,5000,Qualcomm Snapdragon 439 Processor,22999
POCO,8,128,512,6000,Qualcomm Snapdragon 732G Processor,8299
Itel,3,32,128,4000,Unisoc SC9863A Octa Core Processor,17999
